FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
204,E07000218,North Warwickshire, ,425570,296402,-1.6242,52.5649,284306793.496544,113439.566470472
205,E07000219,Nuneaton and Bedworth, ,435420,289352,-1.47964,52.5009,78905769.8295135,48387.7985287133
206,E07000220,Rugby, ,446498,276244,-1.31828,52.3823,353584229.300575,115335.467055669
207,E07000221,Stratford-on-Avon, ,425019,251537,-1.63565,52.1615,977895420.817818,262212.854032085
208,E07000222,Warwick, ,428484,267113,-1.58369,52.3014,282871533.30909,116855.14604214
209,E07000223,Adur, ,518076,106472,-0.32417,50.8457,43538753.8881378,36341.3817883417
210,E07000224,Arun, ,495144,105723,-0.64999,50.8432,225178525.901684,116877.420134002
211,E07000225,Chichester, ,490285,116600,-0.7163,50.9418,812437850.251419,171008.320546698
212,E07000226,Crawley, ,526390,137581,-0.19533,51.1236,44945279.2577438,38945.8525296376
213,E07000227,Horsham, ,513674,123840,-0.38126,51.0027,530921530.165508,157882.054020038
214,E07000228,Mid Sussex, ,533052,130624,-0.10275,51.0595,334023648.113667,133481.667008519
215,E07000229,Worthing, ,512679,104948,-0.40127,50.8331,34507474.719059,33878.8195401341
216,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.3617,216972502.72451,113274.340163906
217,E07000235,Malvern Hills, ,377463,252198,-2.33092,52.1676,577087123.857735,231557.481024641
218,E07000236,Redditch, ,403705,265253,-1.9471,52.2854,54256306.4580383,41251.8728872696
219,E07000237,Worcester, ,385744,255190,-2.20997,52.1948,33348689.0316391,31361.9819570384
220,E07000238,Wychavon, ,398991,247839,-2.01614,52.1289,663488233.289467,219686.600845087
221,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,195437484.732124,101048.109972073
222,E07000240,St Albans, ,514580,209623,-0.3407,51.7736,161206621.037239,72948.2505241459
223,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.7609,129543431.313179,82368.6400155694
224,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.8648,475667799.078766,135228.363179415
225,E07000243,Stevenage, ,524622,224531,-0.18987,51.9054,25969241.2827988,28588.2613601352
226,E07000244,East Suffolk, ,636043,266291,1.4562,52.2442,1294799665.0658,246677.85950697
227,E07000245,West Suffolk, ,580941,271121,0.652723,52.3084,1034734449.08925,275080.54256256
228,E08000001,Bolton, ,368352,409874,-2.47952,53.5845,139783107.641617,82693.285085366
229,E08000002,Bury, ,379658,410767,-2.3088,53.5931,99458514.2032928,68688.5897419365
230,E08000003,Manchester, ,384591,397063,-2.23359,53.4701,115653401.766663,86892.4090733304
231,E08000004,Oldham, ,396603,406784,-2.05274,53.5577,142344981.982239,71147.5239867291
232,E08000005,Rochdale, ,390315,412326,-2.14784,53.6074,158123788.155838,82893.0937463304
233,E08000006,Salford, ,374556,398128,-2.38485,53.4793,97197278.8452148,63268.7941713104
234,E08000007,Stockport, ,391807,388258,-2.12465,53.3911,126052653.572174,74143.6380078439
235,E08000008,Tameside, ,394987,397995,-2.077,53.4787,103152055.204788,55935.6873164236
236,E08000009,Trafford, ,375790,391163,-2.36572,53.4167,106042088.379715,60950.1495203625
237,E08000010,Wigan, ,362139,402126,-2.57242,53.5145,188158511.113403,89158.3665197655
238,E08000011,Knowsley, ,344762,393778,-2.83297,53.4379,86500060.7560806,68167.3691636976
239,E08000012,Liverpool, ,339359,390556,-2.91368,53.4083,133567684.787849,67256.3832295261
240,E08000013,St. Helens, ,353413,395992,-2.70309,53.4586,136356994.084129,76635.8837989708
241,E08000014,Sefton, ,334282,398835,-2.99177,53.4821,202464710.973198,115708.606095338
242,E08000015,Wirral, ,329109,386965,-3.06703,53.3748,253333045.608429,84395.7989476755
243,E08000016,Barnsley, ,429979,403327,-1.54925,53.5258,329089689.611206,126424.225791849
244,E08000017,Doncaster, ,459167,403733,-1.10894,53.527,568522394.351608,135319.754903491
245,E08000018,Rotherham, ,447542,388980,-1.28651,53.3955,286534367.672592,106151.964176801
246,E08000019,Sheffield, ,430511,389736,-1.54254,53.4036,367918910.517776,132843.135228548
247,E08000021,Newcastle upon Tyne, ,422287,569661,-1.65297,55.021,115109515.517899,61714.6060428042
248,E08000022,North Tyneside, ,431485,570602,-1.50901,55.029,84800239.9300385,73458.7979565181
249,E08000023,South Tyneside, ,435505,564057,-1.44693,54.9699,66944156.1592865,51578.6359005901
250,E08000024,Sunderland, ,436455,551514,-1.43368,54.8571,139630930.796204,72359.873757704
251,E08000025,Birmingham, ,408150,287352,-1.88141,52.484,267779430.727539,106288.294123023
252,E08000026,Coventry, ,432809,279689,-1.51905,52.4142,98649500.8869553,54150.0946875102
253,E08000027,Dudley, ,393191,288584,-2.10171,52.4951,97973670.7884598,75343.4095638905
254,E08000028,Sandwell, ,399573,290764,-2.00771,52.5148,85567385.7669373,59232.5140779689
255,E08000029,Solihull, ,419434,281483,-1.71558,52.431,178296417.063591,101113.428360448
256,E08000030,Walsall, ,402099,300807,-1.97043,52.605,104003763.379051,59513.3577668012
257,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.5979,69442618.1509476,56229.1332381639
258,E08000032,Bradford, ,408395,438626,-1.87389,53.8438,366388606.158478,136040.285167668
259,E08000033,Calderdale, ,402618,424895,-1.9618,53.7205,363962000.32135,107850.453123153
260,E08000034,Kirklees, ,414586,416223,-1.78085,53.6423,408551663.956711,125668.530197687
261,E08000035,Leeds, ,432528,436384,-1.50736,53.8227,551697984.217957,161784.307457665
262,E08000036,Wakefield, ,438367,418231,-1.42091,53.6592,338608695.456741,109463.207471603
263,E08000037,Gateshead, ,420158,559652,-1.68696,54.9311,144058251.274277,80432.8575416819
297,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.6939,728186534.01133,165066.961090158
298,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.3867,1437068573.07787,242954.335395177
299,N09000003,Belfast, ,146465,529747,-5.92535,54.5985,137716652.025108,65866.7852260913
